,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timestamp,Title,URL,Posting ID,Price,Neighborhood description (what's provided in parentheses),Address,Google map link,Is this a complex or individual unit posting?,Complex name,Agent name,Phone number,Email address (to respond to listing),Management company name,Extra contact info/other identifying information,,,,,,,,,,,,,,,,
6/19/2019 13:34:12,GUESS WHAT? MOVE IN SPECIAL!!! CALL FOR MORE DETAILS!,https://houston.craigslist.org/apa/d/houston-guess-what-move-in-special-call/6915710735.html,6915710735,640,HOUSTON,"300 North Vista Dr, Houston Texas 77073","https://www.google.com/maps/@30.0198,-95.4087,16z",Complex/multiple units mentioned or advertised,La Esencia,,(281) 821-6119,ae0005347e6e36aea11c04ea796704df@hous.craigslist.org,,,,,,,,,,,,,,,,,,
6/19/2019 13:40:56,"Air-Conditioning, Upgraded Lighting, Nine Resort Style Swimming Pools",https://houston.craigslist.org/apa/d/houston-air-conditioning-upgraded/6903231014.html,6903231014,1099,NA,5410 N. Braeswood,"https://www.google.com/maps/preview/@29.677219,-95.479561,16z",Complex/multiple units mentioned or advertised,Nob Hill Apartments,,(833) 542-6935,128def8b886b336f9ce8ada0b3df7652@hous.craigslist.org,,,,,,,,,,,,,,,,,,
6/19/2019 14:39:37,"On Site Management, Ceiling Fans, Courtyards",https://houston.craigslist.org/apa/d/baytown-on-site-management-ceiling-fans/6912737829.html,6912737829,799,NA,1305 Memorial Drive,"https://www.google.com/maps/preview/@29.743919,-94.975207,16z",Complex/multiple units mentioned or advertised,1305 Memorial Apartments,,(281) 628-7051,92f32ae7993937aaa4448c6cad457992@hous.craigslist.org,,,,,,,,,,,,,,,,,,
,Summer Special! Free Rent! The Breeze at Lake Barbara,https://houston.craigslist.org/apa/d/clute-summer-special-free-rent-the/6915708472.html,6915708472,800,Clute,201 Hackberry St.,"https://www.google.com/maps/preview/@29.032649,-95.394965,16z",Complex/multiple units mentioned or advertised,The Breeze at Lake Barbara,,,9d15df3e51a03841b367e60742179652@hous.craigslist.org,,,,,,,,,,,,,,,,,,
6/19/2019 14:57:32,"9-Ft Ceiling, Front Entrance Ceramic Tile, Garden Tubs, Ceiling Fans",https://houston.craigslist.org/apa/d/stafford-9-ft-ceiling-front-entrance/6915709087.html,6915709087,971,NA,"10500 Fountain Lake Drive OFC, Stafford, TX, 77477","https://www.google.com/maps/preview/@29.622800,-95.567800,16z",Complex/multiple units mentioned or advertised,Reserve at Fountain Lake,,(832) 915-3459,7fd3b7478e8f300c93bf5c301c5479f0@hous.craigslist.org,,,,,,,,,,,,,,,,,,
6/19/2019 15:16:51,"Gated Community, On-site Maintenance, Laundry Facilities",https://houston.craigslist.org/apa/d/houston-gated-community-on-site/6914075312.html,6914075312,810,NA,10615 Meadowglen Ln,"https://www.google.com/maps/preview/@29.731215,-95.561712,16z",Complex/multiple units mentioned or advertised,The Preserve at Westchase,,(713) 785-8097,8ec23936af38396797de7f6471e838c1@hous.craigslist.org,,,,,,,,,,,,,,,,,,
6/19/2019 15:25:58,Downtown EaDo on Rail to U of H and TSU,https://houston.craigslist.org/apa/d/downtown-eado-on-rail-to-of-and-tsu/6915646147.html,6915646147,1299,Downtown EaDo,,"https://www.google.com/maps/preview/@29.753946,-95.350342,16z",Complex/multiple units mentioned or advertised,,,(713) 305-6835,862a122c7cdb399d939a4c46713c4bd8@hous.craigslist.org,,,,,,,,,,,,,,,,,,
6/19/2019 15:31:26,RENOVATED UNITS FOR IMMEDIATE MOVE IN!! $99 1ST MONTH RENT!!!,https://houston.craigslist.org/apa/d/renovated-units-for-immediate-move-in/6915705771.html,6915705771,750,6101 Antoine Drive Houston TX,6101 Antoine Dr.,"https://www.google.com/maps/preview/@29.852387,-95.473331,16z",Complex/multiple units mentioned or advertised,The Falls on Antoine,,(713) 688-8407,6a575db3785338ff9717ca121f85cd21@hous.craigslist.org,,,,,,,,,,,,,,,,,,
6/19/2019 15:42:22,"ADORABLE HOME, READY NOW",https://houston.craigslist.org/apa/d/houston-adorable-home-ready-now/6895552172.html,6895552172,1213,Houston,,"https://www.google.com/maps/preview/@29.773800,-95.598000,16z",Complex/multiple units mentioned or advertised,,,(713) 955-3733,0272f5912a5235a7aa2442006b302a20@hous.craigslist.org,,,,,,,,,,,,,,,,,,
